id;article;sku;name;barcode;barcodes;category_id;description_category_id;type_id;primary_image;images;created_at;visible;is_kgt;has_discounted_item;has_price;has_stock;state;moderate_status;state_name;state_description;is_failed_validate;errors;state_updated_at;link;
1;00037;150200099;name 1;4.62372E+12;['4623720677497', '4665300310479'];2733279;17028759;95885;https://.oz.com/mtl-t/64;['https://.oz.com/mlt-i/6357451362.jpg', 'https://.oz.com/mlt-g/6357451360.jpg', 'https://.oz.com/mlt-e/6357451358.jpg', 'https://.oz.com/mlt-f/6357451359.jpg', 'https://.oz.com/mlt-d/6357451357.jpg', 'https://.oz.com/mlt-t/6357447917.jpg', 'https://.oz.com/mlt-j/6280337455.jpg', 'https://.oz.com/mlt-d/6280337449.jpg', 'https://.oz.com/mlt-k/6280337456.jpg', 'https://.oz.com/mlt-h/6280337453.jpg', 'https://.oz.com/mlt-f/6280337451.jpg', 'https://.oz.com/mlt-i/6280337454.jpg'];2019-03-27T14:50:09.450974Z;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2023-12-07T06:56:11.953582Z;https://www.ozon.ru/product/15020;
2;00029;150200088;name 2;4665300310394;['4665300310394'];2733279;17028759;95885;https://.oz.com/mtl-8/64;['https://.oz.com/mlt-z/6357443099.jpg', 'https://.oz.com/mlt-l/6357443085.jpg', 'https://.oz.com/mlt-0/6357441444.jpg', 'https://.oz.com/mlt-w/6357443096.jpg', 'https://.oz.com/mlt-y/6357443098.jpg', 'https://.oz.com/mlt-d/6357431017.jpg', 'https://.oz.com/mlt-d/6357440809.jpg', 'https://.oz.com/mlt-e/6280326794.jpg', 'https://.oz.com/mlt-k/6280326800.jpg', 'https://.oz.com/mlt-f/6280326795.jpg', 'https://.oz.com/mlt-j/6280326799.jpg', 'https://.oz.com/mlt-h/6280326797.jpg', 'https://.oz.com/mlt-l/6280326801.jpg'];2019-03-27T14:50:09.780760Z;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2023-12-07T06:56:33.584280Z;https://www.ozon.ru/product/15020;
3;00026;150200084;name 3;4623720677381;['4623720677381', '4665300310363'];2733279;17028759;95885;https://.oz.com/mtl-6/64;['https://.oz.com/mlt-i/6357431022.jpg', 'https://.oz.com/mlt-a/6357431014.jpg', 'https://.oz.com/mlt-k/6357431024.jpg', 'https://.oz.com/mlt-b/6357431015.jpg', 'https://.oz.com/mlt-g/6357431020.jpg', 'https://.oz.com/mlt-d/6357431017.jpg', 'https://.oz.com/mlt-j/6357431023.jpg', 'https://.oz.com/mlt-r/6326714535.jpg', 'https://.oz.com/mlt-d/6326714557.jpg', 'https://.oz.com/mlt-a/6326714554.jpg', 'https://.oz.com/mlt-j/6326714563.jpg', 'https://.oz.com/mlt-v/6326714575.jpg'];2019-03-27T14:50:10.634763Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2023-12-07T06:56:42.267986Z;https://www.ozon.ru/product/15020;
4;00019;150200082;name 4;14665300311886;['14665300311886', '4665300311889'];1010232;83250454;970860463;https://.oz.com/mtl-7/63;['https://.oz.com/mlt-q/6379994246.jpg', 'https://.oz.com/mlt-b/6379980155.jpg', 'https://.oz.com/mlt-b/6424946459.jpg', 'https://.oz.com/mlt-2/6377505110.jpg', 'https://.oz.com/mlt-4/6377505112.jpg', 'https://.oz.com/mlt-9/6380205405.jpg', 'https://.oz.com/mlt-8/6380205404.jpg', 'https://.oz.com/mlt-5/6379977125.jpg', 'https://.oz.com/mlt-v/6288294259.jpg', 'https://.oz.com/mlt-p/6288294253.jpg', 'https://.oz.com/mlt-2/6288294266.jpg', 'https://.oz.com/mlt-o/6288294252.jpg', 'https://.oz.com/mlt-m/6288294250.jpg', 'https://.oz.com/mlt-r/6288294255.jpg'];2019-03-27T14:50:10.940458Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2023-08-28T15:28:27.619483Z;https://www.ozon.ru/product/15020;
5;00034;150200094;name 5;4665300310448;['4665300310448'];2733279;17028759;95885;https://.oz.com/mtl-9/64;['https://.oz.com/mlt-u/6357448494.jpg', 'https://.oz.com/mlt-v/6357448495.jpg', 'https://.oz.com/mlt-r/6357448491.jpg', 'https://.oz.com/mlt-q/6357448490.jpg', 'https://.oz.com/mlt-s/6357448492.jpg', 'https://.oz.com/mlt-d/6357431017.jpg', 'https://.oz.com/mlt-t/6357447917.jpg', 'https://.oz.com/mlt-3/6280332831.jpg', 'https://.oz.com/mlt-x/6280332825.jpg', 'https://.oz.com/mlt-w/6280332824.jpg', 'https://.oz.com/mlt-y/6280332826.jpg', 'https://.oz.com/mlt-1/6280332829.jpg', 'https://.oz.com/mlt-0/6280332828.jpg'];2019-03-27T14:50:11.256557Z;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2023-12-07T06:56:24.789336Z;https://www.ozon.ru/product/15020;
6;00032;150200092;name 6;4623720677442;['4623720677442', '4665300310424'];2733279;17028759;95885;https://.oz.com/mtl-s/64;['https://.oz.com/mlt-p/6357447121.jpg', 'https://.oz.com/mlt-m/6357447118.jpg', 'https://.oz.com/mlt-r/6357447123.jpg', 'https://.oz.com/mlt-o/6357447120.jpg', 'https://.oz.com/mlt-l/6357447117.jpg', 'https://.oz.com/mlt-d/6357431017.jpg', 'https://.oz.com/mlt-d/6357440809.jpg', 'https://.oz.com/mlt-l/6280330149.jpg', 'https://.oz.com/mlt-o/6280330152.jpg', 'https://.oz.com/mlt-m/6280330150.jpg', 'https://.oz.com/mlt-j/6280330147.jpg', 'https://.oz.com/mlt-g/6280330144.jpg', 'https://.oz.com/mlt-n/6280330151.jpg'];2019-03-27T14:50:11.620925Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2023-08-29T08:51:23.988044Z;https://www.ozon.ru/product/15020;
7;00028;150200086;name 7;4623720677404;['4623720677404', '4665300310387'];2733279;17028759;95885;https://.oz.com/mtl-o/64;['https://.oz.com/mlt-1/6357441445.jpg', 'https://.oz.com/mlt-3/6357441447.jpg', 'https://.oz.com/mlt-0/6357441444.jpg', 'https://.oz.com/mlt-z/6357441443.jpg', 'https://.oz.com/mlt-d/6357431017.jpg', 'https://.oz.com/mlt-2/6357441446.jpg', 'https://.oz.com/mlt-d/6357440809.jpg', 'https://.oz.com/mlt-s/6280326232.jpg', 'https://.oz.com/mlt-r/6280326231.jpg', 'https://.oz.com/mlt-p/6280326229.jpg', 'https://.oz.com/mlt-y/6359026702.jpg', 'https://.oz.com/mlt-n/6280326227.jpg', 'https://.oz.com/mlt-q/6280326230.jpg'];2019-03-27T14:50:11.956118Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2023-12-07T06:56:33.584280Z;https://www.ozon.ru/product/15020;
8;00030;150200090;name 8;4665300310400;['4665300310400'];2733279;17028759;95885;https://.oz.com/mtl-w/64;['https://.oz.com/mlt-w/6357446156.jpg', 'https://.oz.com/mlt-y/6357446158.jpg', 'https://.oz.com/mlt-v/6357446155.jpg', 'https://.oz.com/mlt-x/6357446157.jpg', 'https://.oz.com/mlt-1/6357446161.jpg', 'https://.oz.com/mlt-d/6357431017.jpg', 'https://.oz.com/mlt-d/6357440809.jpg', 'https://.oz.com/mlt-o/6280327524.jpg', 'https://.oz.com/mlt-n/6280327523.jpg', 'https://.oz.com/mlt-i/6280327518.jpg', 'https://.oz.com/mlt-k/6280327520.jpg', 'https://.oz.com/mlt-m/6280327522.jpg', 'https://.oz.com/mlt-p/6280327525.jpg'];2019-03-27T14:50:12.597534Z;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2023-12-07T06:56:17.729998Z;https://www.ozon.ru/product/15020;
9;00020;150200083;name 9;14665300311862;['14665300311862', '4665300311865'];1010232;83250454;970860463;https://.oz.com/mtl-h/63;['https://.oz.com/mlt-q/6379994246.jpg', 'https://.oz.com/mlt-b/6379980155.jpg', 'https://.oz.com/mlt-b/6424946459.jpg', 'https://.oz.com/mlt-i/6377505414.jpg', 'https://.oz.com/mlt-k/6377505416.jpg', 'https://.oz.com/mlt-i/6380306646.jpg', 'https://.oz.com/mlt-e/6380306642.jpg', 'https://.oz.com/mlt-5/6379977125.jpg', 'https://.oz.com/mlt-c/6288308172.jpg', 'https://.oz.com/mlt-5/6288308165.jpg', 'https://.oz.com/mlt-e/6288308174.jpg', 'https://.oz.com/mlt-8/6288308168.jpg', 'https://.oz.com/mlt-6/6288308166.jpg', 'https://.oz.com/mlt-d/6288308173.jpg'];2019-03-27T14:50:13.372575Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2023-08-28T15:28:34.624376Z;https://www.ozon.ru/product/15020;
10;00035;150200095;name 10;4665300310455;['4665300310455'];2733279;17028759;95885;https://.oz.com/mtl-e/64;['https://.oz.com/mlt-e/6357449054.jpg', 'https://.oz.com/mlt-d/6357449053.jpg', 'https://.oz.com/mlt-g/6357449056.jpg', 'https://.oz.com/mlt-a/6357449050.jpg', 'https://.oz.com/mlt-b/6357449051.jpg', 'https://.oz.com/mlt-d/6357431017.jpg', 'https://.oz.com/mlt-t/6357447917.jpg', 'https://.oz.com/mlt-9/6280333881.jpg', 'https://.oz.com/mlt-7/6280333879.jpg', 'https://.oz.com/mlt-a/6280333882.jpg', 'https://.oz.com/mlt-b/6280333883.jpg', 'https://.oz.com/mlt-5/6280333877.jpg', 'https://.oz.com/mlt-8/6280333880.jpg'];2019-03-27T14:50:13.692740Z;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2023-12-07T06:56:31.267527Z;https://www.ozon.ru/product/15020;
