,id,article,sku,name,barcode,barcodes,category_id,description_category_id,type_id,primary_image,images,created_at,visible,is_kgt,has_discounted_item,has_price,has_stock,state,moderate_status,state_name,state_description,is_failed_validate,errors,state_updated_at,link
0,1,article1,150200099,name 1,4620000000000,"['4623720677497', '4665300310479']",27332,17028759,95885,https://oz.ru/s3/mtl-t/6404662673.jpg,"['https://oz.ru/s3/mtl-i/6357451362.jpg', 'https://oz.ru/s3/mtl-g/6357451360.jpg', 'https://oz.ru/s3/mtl-e/6357451358.jpg', 'https://oz.ru/s3/mtl-f/6357451359.jpg', 'https://oz.ru/s3/mtl-d/6357451357.jpg', 'https://oz.ru/s3/mtl-t/6357447917.jpg', 'https://oz.ru/s3/mtl-j/6280337455.jpg', 'https://oz.ru/s3/mtl-d/6280337449.jpg', 'https://oz.ru/s3/mtl-k/6280337456.jpg', 'https://oz.ru/s3/mtl-h/6280337453.jpg', 'https://oz.ru/s3/mtl-f/6280337451.jpg', 'https://oz.ru/s3/mtl-i/6280337454.jpg']",2019-03-27 17:50:00,True,False,True,False,True,price_sent,approved,on sale,,False,[],2023-12-07 09:56:00,https://www.oz.ru/product/150200099
1,2,article2,150200088,name 2,4670000000000,['4665300310394'],27332,17028759,95885,https://oz.ru/s3/mtl-8/6404646488.jpg,"['https://oz.ru/s3/mtl-z/6357443099.jpg', 'https://oz.ru/s3/mtl-l/6357443085.jpg', 'https://oz.ru/s3/mtl-0/6357441444.jpg', 'https://oz.ru/s3/mtl-w/6357443096.jpg', 'https://oz.ru/s3/mtl-y/6357443098.jpg', 'https://oz.ru/s3/mtl-d/6357431017.jpg', 'https://oz.ru/s3/mtl-d/6357440809.jpg', 'https://oz.ru/s3/mtl-e/6280326794.jpg', 'https://oz.ru/s3/mtl-k/6280326800.jpg', 'https://oz.ru/s3/mtl-f/6280326795.jpg', 'https://oz.ru/s3/mtl-j/6280326799.jpg', 'https://oz.ru/s3/mtl-h/6280326797.jpg', 'https://oz.ru/s3/mtl-l/6280326801.jpg']",2019-03-27 17:50:00,True,False,True,False,True,price_sent,approved,on sale,,False,[],2023-12-07 09:56:00,https://www.oz.ru/product/150200088
2,3,article3,150200084,name 3,4620000000000,"['4623720677381', '4665300310363']",27332,17028759,95885,https://oz.ru/s3/mtl-6/6404640366.jpg,"['https://oz.ru/s3/mtl-i/6357431022.jpg', 'https://oz.ru/s3/mtl-a/6357431014.jpg', 'https://oz.ru/s3/mtl-k/6357431024.jpg', 'https://oz.ru/s3/mtl-b/6357431015.jpg', 'https://oz.ru/s3/mtl-g/6357431020.jpg', 'https://oz.ru/s3/mtl-d/6357431017.jpg', 'https://oz.ru/s3/mtl-j/6357431023.jpg', 'https://oz.ru/s3/mtl-r/6326714535.jpg', 'https://oz.ru/s3/mtl-d/6326714557.jpg', 'https://oz.ru/s3/mtl-a/6326714554.jpg', 'https://oz.ru/s3/mtl-j/6326714563.jpg', 'https://oz.ru/s3/mtl-v/6326714575.jpg']",2019-03-27 17:50:00,True,False,False,False,True,price_sent,approved,on sale,,False,[],2023-12-07 09:56:00,https://www.oz.ru/product/150200084
3,4,article4,150200082,name 4,14700000000000,"['14665300311886', '4665300311889']",10102,83250454,970860463,https://oz.ru/s3/mtl-7/6380205403.jpg,"['https://oz.ru/s3/mtl-q/6379994246.jpg', 'https://oz.ru/s3/mtl-b/6379980155.jpg', 'https://oz.ru/s3/mtl-b/6424946459.jpg', 'https://oz.ru/s3/mtl-2/6377505110.jpg', 'https://oz.ru/s3/mtl-4/6377505112.jpg', 'https://oz.ru/s3/mtl-9/6380205405.jpg', 'https://oz.ru/s3/mtl-8/6380205404.jpg', 'https://oz.ru/s3/mtl-5/6379977125.jpg', 'https://oz.ru/s3/mtl-v/6288294259.jpg', 'https://oz.ru/s3/mtl-p/6288294253.jpg', 'https://oz.ru/s3/mtl-2/6288294266.jpg', 'https://oz.ru/s3/mtl-o/6288294252.jpg', 'https://oz.ru/s3/mtl-m/6288294250.jpg', 'https://oz.ru/s3/mtl-r/6288294255.jpg']",2019-03-27 17:50:00,True,False,False,False,True,price_sent,approved,on sale,,False,[],2023-08-28 18:28:00,https://www.oz.ru/product/150200082
4,5,article5,150200094,name 5,4670000000000,['4665300310448'],27332,17028759,95885,https://oz.ru/s3/mtl-9/6404657433.jpg,"['https://oz.ru/s3/mtl-u/6357448494.jpg', 'https://oz.ru/s3/mtl-v/6357448495.jpg', 'https://oz.ru/s3/mtl-r/6357448491.jpg', 'https://oz.ru/s3/mtl-q/6357448490.jpg', 'https://oz.ru/s3/mtl-s/6357448492.jpg', 'https://oz.ru/s3/mtl-d/6357431017.jpg', 'https://oz.ru/s3/mtl-t/6357447917.jpg', 'https://oz.ru/s3/mtl-3/6280332831.jpg', 'https://oz.ru/s3/mtl-x/6280332825.jpg', 'https://oz.ru/s3/mtl-w/6280332824.jpg', 'https://oz.ru/s3/mtl-y/6280332826.jpg', 'https://oz.ru/s3/mtl-1/6280332829.jpg', 'https://oz.ru/s3/mtl-0/6280332828.jpg']",2019-03-27 17:50:00,True,False,True,False,True,price_sent,approved,on sale,,False,[],2023-12-07 09:56:00,https://www.oz.ru/product/150200094
5,6,article6,150200092,name 6,4620000000000,"['4623720677442', '4665300310424']",27332,17028759,95885,https://oz.ru/s3/mtl-s/6404653456.jpg,"['https://oz.ru/s3/mtl-p/6357447121.jpg', 'https://oz.ru/s3/mtl-m/6357447118.jpg', 'https://oz.ru/s3/mtl-r/6357447123.jpg', 'https://oz.ru/s3/mtl-o/6357447120.jpg', 'https://oz.ru/s3/mtl-l/6357447117.jpg', 'https://oz.ru/s3/mtl-d/6357431017.jpg', 'https://oz.ru/s3/mtl-d/6357440809.jpg', 'https://oz.ru/s3/mtl-l/6280330149.jpg', 'https://oz.ru/s3/mtl-o/6280330152.jpg', 'https://oz.ru/s3/mtl-m/6280330150.jpg', 'https://oz.ru/s3/mtl-j/6280330147.jpg', 'https://oz.ru/s3/mtl-g/6280330144.jpg', 'https://oz.ru/s3/mtl-n/6280330151.jpg']",2019-03-27 17:50:00,True,False,False,False,True,price_sent,approved,on sale,,False,[],2023-08-29 11:51:00,https://www.oz.ru/product/150200092
6,7,article7,150200086,name 7,4620000000000,"['4623720677404', '4665300310387']",27332,17028759,95885,https://oz.ru/s3/mtl-o/6404644128.jpg,"['https://oz.ru/s3/mtl-1/6357441445.jpg', 'https://oz.ru/s3/mtl-3/6357441447.jpg', 'https://oz.ru/s3/mtl-0/6357441444.jpg', 'https://oz.ru/s3/mtl-z/6357441443.jpg', 'https://oz.ru/s3/mtl-d/6357431017.jpg', 'https://oz.ru/s3/mtl-2/6357441446.jpg', 'https://oz.ru/s3/mtl-d/6357440809.jpg', 'https://oz.ru/s3/mtl-s/6280326232.jpg', 'https://oz.ru/s3/mtl-r/6280326231.jpg', 'https://oz.ru/s3/mtl-p/6280326229.jpg', 'https://oz.ru/s3/mtl-y/6359026702.jpg', 'https://oz.ru/s3/mtl-n/6280326227.jpg', 'https://oz.ru/s3/mtl-q/6280326230.jpg']",2019-03-27 17:50:00,True,False,False,False,True,price_sent,approved,on sale,,False,[],2023-12-07 09:56:00,https://www.oz.ru/product/150200086
7,8,article8,150200090,name 8,4670000000000,['4665300310400'],27332,17028759,95885,https://oz.ru/s3/mtl-w/6404649860.jpg,"['https://oz.ru/s3/mtl-w/6357446156.jpg', 'https://oz.ru/s3/mtl-y/6357446158.jpg', 'https://oz.ru/s3/mtl-v/6357446155.jpg', 'https://oz.ru/s3/mtl-x/6357446157.jpg', 'https://oz.ru/s3/mtl-1/6357446161.jpg', 'https://oz.ru/s3/mtl-d/6357431017.jpg', 'https://oz.ru/s3/mtl-d/6357440809.jpg', 'https://oz.ru/s3/mtl-o/6280327524.jpg', 'https://oz.ru/s3/mtl-n/6280327523.jpg', 'https://oz.ru/s3/mtl-i/6280327518.jpg', 'https://oz.ru/s3/mtl-k/6280327520.jpg', 'https://oz.ru/s3/mtl-m/6280327522.jpg', 'https://oz.ru/s3/mtl-p/6280327525.jpg']",2019-03-27 17:50:00,True,False,True,False,True,price_sent,approved,on sale,,False,[],2023-12-07 09:56:00,https://www.oz.ru/product/150200090
8,9,article9,150200083,name 9,14700000000000,"['14665300311862', '4665300311865']",10102,83250454,970860463,https://oz.ru/s3/mtl-h/6380306645.jpg,"['https://oz.ru/s3/mtl-q/6379994246.jpg', 'https://oz.ru/s3/mtl-b/6379980155.jpg', 'https://oz.ru/s3/mtl-b/6424946459.jpg', 'https://oz.ru/s3/mtl-i/6377505414.jpg', 'https://oz.ru/s3/mtl-k/6377505416.jpg', 'https://oz.ru/s3/mtl-i/6380306646.jpg', 'https://oz.ru/s3/mtl-e/6380306642.jpg', 'https://oz.ru/s3/mtl-5/6379977125.jpg', 'https://oz.ru/s3/mtl-c/6288308172.jpg', 'https://oz.ru/s3/mtl-5/6288308165.jpg', 'https://oz.ru/s3/mtl-e/6288308174.jpg', 'https://oz.ru/s3/mtl-8/6288308168.jpg', 'https://oz.ru/s3/mtl-6/6288308166.jpg', 'https://oz.ru/s3/mtl-d/6288308173.jpg']",2019-03-27 17:50:00,True,False,False,False,True,price_sent,approved,on sale,,False,[],2023-08-28 18:28:00,https://www.oz.ru/product/150200083
9,10,article10,150200095,name 10,4670000000000,['4665300310455'],27332,17028759,95885,https://oz.ru/s3/mtl-e/6404659310.jpg,"['https://oz.ru/s3/mtl-e/6357449054.jpg', 'https://oz.ru/s3/mtl-d/6357449053.jpg', 'https://oz.ru/s3/mtl-g/6357449056.jpg', 'https://oz.ru/s3/mtl-a/6357449050.jpg', 'https://oz.ru/s3/mtl-b/6357449051.jpg', 'https://oz.ru/s3/mtl-d/6357431017.jpg', 'https://oz.ru/s3/mtl-t/6357447917.jpg', 'https://oz.ru/s3/mtl-9/6280333881.jpg', 'https://oz.ru/s3/mtl-7/6280333879.jpg', 'https://oz.ru/s3/mtl-a/6280333882.jpg', 'https://oz.ru/s3/mtl-b/6280333883.jpg', 'https://oz.ru/s3/mtl-5/6280333877.jpg', 'https://oz.ru/s3/mtl-8/6280333880.jpg']",2019-03-27 17:50:00,True,False,True,False,True,price_sent,approved,on sale,,False,[],2023-12-07 09:56:00,https://www.oz.ru/product/150200095
